"Measure Name","Measure ID","Measure Start Quarter","Measure Start Date","Measure End Quarter","Measure End Date"
"Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI_HVBP_Baseline","4Q2010","2010-10-01 00:00:00","2Q2011","2011-06-30 00:00:00"
"Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI_HVBP_Performance","4Q2012","2012-10-01 00:00:00","2Q2014","2014-06-30 00:00:00"
"30-Day All-Cause Mortality Following Coronary Artery Bypass Graft (CABG) Surgery","MORT_30_CABG","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Chronic Obstructive Pulmonary Disease (COPD) 30-Day Mortality Rate","MORT_30_COPD","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Heart Failure (HF) 30-Day Mortality Rate","MORT_30_HF","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Heart Failure (HF) 30-Day Mortality Rate","MORT_30_HF_HVBP_Baseline","4Q2010","2010-10-01 00:00:00","2Q2011","2011-06-30 00:00:00"
"Heart Failure (HF) 30-Day Mortality Rate","MORT_30_HF_HVBP_Performance","4Q2012","2012-10-01 00:00:00","2Q2014","2014-06-30 00:00:00"
"Pneumonia 30-Day Mortality Rate","MORT_30_PN","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Pneumonia 30-Day Mortality Rate","MORT_30_PN_HVBP_Baseline","4Q2010","2010-10-01 00:00:00","2Q2011","2011-06-30 00:00:00"
"Pneumonia 30-Day Mortality Rate","MORT_30_PN_HVBP_Performance","4Q2012","2012-10-01 00:00:00","2Q2014","2014-06-30 00:00:00"
"Acute Ischemic Stroke (STK) 30-Day Mortality Rate","MORT_30_STK","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary)","MSPB_1","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary)","MSPB_1_HVBP_Baseline","1Q2012","2012-01-01 00:00:00","4Q2012","2012-12-31 00:00:00"
"Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary)","MSPB_1_HVBP_Performance","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Median Time to Fibrinolysis","OP_1","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Abdomen CT - Use of Contrast Material","OP_10","3Q2014","2014-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Thorax CT - Use of Contrast Material","OP_11","3Q2014","2014-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"The Ability for Providers with HIT to Receive Laboratory Data Electronically Directly into their ONC-Certified EHR System as Discrete Searchable Data","OP_12","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Cardiac imaging for preoperative risk assessment for non-cardiac low-risk surgery","OP_13","3Q2014","2014-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Simultaneous use of brain Computed Tomography (CT) and sinus Computed Tomography (CT)","OP_14","3Q2014","2014-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Tracking Clinical Results between Visits","OP_17","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Median Time from ED Arrival to ED Departure for Discharged ED Patients","OP_18b","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP_2","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Median Time from ED Arrival to Provider Contact for ED patients","OP_20","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Median Time to Pain Management for Long Bone Fracture","OP_21","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Left without being seen","OP_22","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 minutes of ED Arrival","OP_23","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Safe Surgery Checklist Use","OP_25","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Hospital Outpatient Volume Data on Selected Outpatient Surgical Procedures","OP_26","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Appropriate Follow-Up Interval for Normal Colonoscopy in Average Risk Patients","OP_29","2Q2014","2014-04-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Colonoscopy Interval for Patients with a History of Adenomatous Polyps - Avoidance of Inappropriate Use","OP_30","2Q2014","2014-04-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Median Time to Transfer to Another Facility for Acute Coronary Intervention- Reporting Rate","OP_3b","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Aspirin at Arrival","OP_4","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Median Time to ECG","OP_5","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"MRI Lumbar Spine for Low Back Pain","OP_8","3Q2014","2014-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Mammography Follow-up Rates","OP_9","3Q2014","2014-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Risk-Standardized Payment Associated with a 30-Day AMI Episode-of-Care for Acute Myocardial Infarction","PAYM_30_AMI","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Risk-Standardized Payment Associated with a 30-Day Episode of Care for Heart Failure","PAYM_30_HF","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Risk-Standardized Payment Associated with a 30-Day Episode of Care for Pneumonia","PAYM_30_PN","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Elective Delivery","PC_01","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Adjuvant Chemotherapy Colon Cancer","PCH_1","3Q2014","2014-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Combination Chemotherapy Breast Cancer","PCH_2","3Q2014","2014-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Adjuvant Hormonal Therapy","PCH_3","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Initial Antibiotic Selection for CAP in Immunocompetent Patient","PN_6","1Q2015","2015-01-01 00:00:00","3Q2015","2015-09-30 00:00:00"
"Initial Antibiotic Selection for CAP in Immunocompetent Patient","PN_6_HVBP_Baseline","1Q2012","2012-01-01 00:00:00","4Q2012","2012-12-31 00:00:00"
"Initial Antibiotic Selection for CAP in Immunocompetent Patient","PN_6_HVBP_Performance","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate","PSI_12","3Q2013","2013-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Postoperative Sepsis Rate","PSI_13","3Q2013","2013-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Postoperative wound dehiscence Rate","PSI_14","3Q2013","2013-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Accidental puncture or laceration Rate","PSI_15","3Q2013","2013-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Pressure Ulcer Rate","PSI_3","3Q2013","2013-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Death among surgical inpatients with serious treatable complications Rate","PSI_4","3Q2013","2013-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Iatrogenic pneumothorax, adult Rate","PSI_6","3Q2013","2013-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Central Venous Catheter-Related Bloodstream Infections Rate","PSI_7","3Q2013","2013-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Postoperative Hip Fracture Rate","PSI_8","3Q2013","2013-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Complication/patient safety for selected indicators (composite)","PSI_90","3Q2013","2013-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Complication/patient safety for selected indicators (composite)","PSI_90_HVBP_Baseline","4Q2010","2010-10-15 00:00:00","2Q2011","2011-06-30 00:00:00"
"Complication/patient safety for selected indicators (composite)","PSI_90_HVBP_Performance","4Q2012","2012-10-15 00:00:00","2Q2014","2014-06-30 00:00:00"
"Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Acute Myocardial Infarction (AMI) 30-Day Readmissions","READM_30_AMI_HRRP","3Q2011","2011-07-01 00:00:00","2Q2014","2014-06-30 00:00:00"
"30-Day All-Cause Unplanned Readmission Following Coronary Artery Bypass Graft Surgery (CABG)","READM_30_CABG","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Chronic Obstructive Pulmonary Disease (COPD) 30-Day Readmission Rate","READM_30_COPD","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Chronic Obstructive Pulmonary Disease (COPD) 30-Day Readmission Rate","READM_30_COPD_HRRP","3Q2011","2011-07-01 00:00:00","2Q2014","2014-06-30 00:00:00"
"Heart Failure (HF) 30-Day Readmission Rate","READM_30_HF","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Heart Failure (HF) 30-Day Readmissions","READM_30_HF_HRRP","3Q2011","2011-07-01 00:00:00","2Q2014","2014-06-30 00:00:00"
"30-Day Readmission Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA)","READM_30_HIP_KNEE","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Complication Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA)","READM_30_HIP_KNEE_HRRP","3Q2011","2011-07-01 00:00:00","2Q2014","2014-06-30 00:00:00"
"30-Day Hospital-Wide All-Cause Unplanned Readmission Rate","READM_30_HOSP_WIDE","3Q2014","2014-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Pneumonia 30-Day Readmission Rate","READM_30_PN","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Pneumonia 30-Day Readmissions","READM_30_PN_HRRP","3Q2011","2011-07-01 00:00:00","2Q2014","2014-06-30 00:00:00"
"Stroke (STK) 30-Day Readmission Rate","READM_30_STK","3Q2012","2012-07-01 00:00:00","2Q2015","2015-06-30 00:00:00"
"Surgery Patients on Beta-Blocker Therapy Prior to Arrival Who Received a Beta-Blocker During the Perioperative Period","SCIP_Card_2","1Q2015","2015-01-01 00:00:00","3Q2015","2015-09-30 00:00:00"
"Surgery Patients on Beta-Blocker Therapy Prior to Arrival Who Received a Beta-Blocker During the Perioperative Period","SCIP_Card_2_HVBP_Baseline","1Q2012","2012-01-01 00:00:00","4Q2012","2012-12-31 00:00:00"
"Surgery Patients on Beta-Blocker Therapy Prior to Arrival Who Received a Beta-Blocker During the Perioperative Period","SCIP_Card_2_HVBP_Performance","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Prophylactic Antibiotic Received Within 1 Hour Prior to Surgical Incision","SCIP_Inf_1","1Q2015","2015-01-01 00:00:00","3Q2015","2015-09-30 00:00:00"
"Prophylactic Antibiotic Selection for Surgical Patients","SCIP_Inf_2","1Q2015","2015-01-01 00:00:00","3Q2015","2015-09-30 00:00:00"
"Prophylactic Antibiotic Selection for Surgical Patients","SCIP_Inf_2_HVBP_Baseline","1Q2012","2012-01-01 00:00:00","4Q2012","2012-12-31 00:00:00"
"Prophylactic Antibiotic Selection for Surgical Patients","SCIP_Inf_2_HVBP_Performance","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Prophylactic Antibiotics Discontinued Within 24 hours After Surgery End Time","SCIP_Inf_3","1Q2015","2015-01-01 00:00:00","3Q2015","2015-09-30 00:00:00"
"Prophylactic Antibiotics Discontinued Within 24 hours After Surgery End Time","SCIP_Inf_3_HVBP_Baseline","1Q2012","2012-01-01 00:00:00","4Q2012","2012-12-31 00:00:00"
"Prophylactic Antibiotics Discontinued Within 24 hours After Surgery End Time","SCIP_Inf_3_HVBP_Performance","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Urinary Catheter Removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with Day of Surgery being Day Zero","SCIP_Inf_9","1Q2015","2015-01-01 00:00:00","3Q2015","2015-09-30 00:00:00"
"Urinary  Catheter Removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with Day of Surgery being Day Zero","SCIP_Inf_9_HVBP_Baseline","1Q2012","2012-01-01 00:00:00","4Q2012","2012-12-31 00:00:00"
"Urinary  Catheter Removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with Day of Surgery being Day Zero","SCIP_Inf_9_HVBP_Performance","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery","SCIP_VTE_2","1Q2015","2015-01-01 00:00:00","3Q2015","2015-09-30 00:00:00"
"Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery","SCIP_VTE_2_HVBP_Baseline","1Q2012","2012-01-01 00:00:00","4Q2012","2012-12-31 00:00:00"
"Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery","SCIP_VTE_2_HVBP_Performance","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Safe Surgery Checklist Use","SM_5","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Participation in a Systematic Database for Cardiac Surgery","SM_PART_CARD","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Participation in a Systematic Clinical Database Registry for General Surgery","SM_PART_GEN_SURG","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Participation in a Systematic Clinical Database Registry for Nursing Sensitive Care","SM_PART_NURSE","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"HCAHPS Summary Star Rating","Star Rating","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Venous Thromboembolism (VTE) Prophylaxis","STK_1","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Assessed for Rehabilitation","STK_10","1Q2015","2015-01-01 00:00:00","3Q2015","2015-09-30 00:00:00"
"Discharged on Antithrombotic Therapy","STK_2","1Q2015","2015-01-01 00:00:00","3Q2015","2015-09-30 00:00:00"
"Anticoagulation Therapy for Atrial Fibrillation/Flutter","STK_3","1Q2015","2015-01-01 00:00:00","3Q2015","2015-09-30 00:00:00"
"Thrombolytic Therapy","STK_4","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Antithrombotic Therapy By End of Hospital Day 2","STK_5","1Q2015","2015-01-01 00:00:00","3Q2015","2015-09-30 00:00:00"
"Discharged on Statin Medication","STK_6","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Stroke Education","STK_8","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Alcohol Use Screening","SUB_1","1Q2014","2014-01-01 00:00:00","4Q2014","2014-12-31 00:00:00"
"Venous Thromboembolism Prophylaxis","VTE_1","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Intensive Care Unit Venous Thromboembolism Prophylaxis","VTE_2","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Venous Thromboembolism Patients with Anticoagulation Overlap Therapy","VTE_3","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Venous Thromboembolism Patients Receiving Unfractionated Heparin with Dosages/Platelet Count Monitoring by Protocol or Nomogram","VTE_4","1Q2015","2015-01-01 00:00:00","3Q2015","2015-09-30 00:00:00"
"Venous Thromboembolism Warfarin Therapy Discharge Instructions","VTE_5","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
"Hospital Acquired Potentially-Preventable Venous Thromboembolism","VTE_6","1Q2015","2015-01-01 00:00:00","4Q2015","2015-12-31 00:00:00"
